question_id,student_model,condition,subject,difficulty,model_id,answer_text
gpqa_main_0,student_gpt_nano_5,baseline,Biology,nan,gpt-5-nano,
gpqa_main_0,student_gpt_nano_5,sag,Biology,nan,gpt-5-nano,
gpqa_main_0,student_gpt_nano_5,pag,Biology,nan,gpt-5-nano,
gpqa_main_1,student_gpt_nano_5,baseline,Physics,nan,gpt-5-nano,
gpqa_main_1,student_gpt_nano_5,sag,Physics,nan,gpt-5-nano,
gpqa_main_1,student_gpt_nano_5,pag,Physics,nan,gpt-5-nano,
gpqa_main_2,student_gpt_nano_5,baseline,Chemistry,nan,gpt-5-nano,
gpqa_main_2,student_gpt_nano_5,sag,Chemistry,nan,gpt-5-nano,
gpqa_main_2,student_gpt_nano_5,pag,Chemistry,nan,gpt-5-nano,
gpqa_main_3,student_gpt_nano_5,baseline,Chemistry,nan,gpt-5-nano,
gpqa_main_3,student_gpt_nano_5,sag,Chemistry,nan,gpt-5-nano,
gpqa_main_3,student_gpt_nano_5,pag,Chemistry,nan,gpt-5-nano,
gpqa_main_4,student_gpt_nano_5,baseline,Chemistry,nan,gpt-5-nano,
gpqa_main_4,student_gpt_nano_5,sag,Chemistry,nan,gpt-5-nano,
gpqa_main_4,student_gpt_nano_5,pag,Chemistry,nan,gpt-5-nano,
